0, inf, 69, 11, 74, 2, 54, 59, 100, 81, 51, 70, 25, inf, 12
26, 0, 68, 90, 100, 38, 79, 56, 74, inf, 75, 37, 22, 43, inf
65, 14, 0, inf, 75, 17, inf, 23, 9, 93, 74, 74, 100, 87, inf
66, 75, 1, 0, 19, 17, 71, inf, 32, inf, 19, 49, 19, inf, 46
21, 38, inf, 72, 0, 43, 66, 56, 46, 48, 26, 57, 37, inf, 52
inf, 45, inf, inf, 81, 0, 51, inf, 64, 63, 77, 29, 37, 95, 87
96, 23, inf, 41, inf, 78, 0, 15, 7, 33, 74, 78, 64, 63, 80
82, 71, 62, 36, 9, 91, 24, 0, 65, inf, 32, 32, 51, inf, 23
82, 97, 39, 39, inf, 81, 21, 35, 0, 74, 91, 36, 72, inf, 43
inf, 5, 71, 13, 19, 70, 94, 19, 68, 0, inf, 9, 25, 63, 91
inf, 68, 61, 88, 50, 3, 50, 62, 98, 29, 0, 86, 27, 87, 35
35, 22, 34, 94, 19, 38, inf, inf, 78, 13, 36, 0, 20, 77, 74
8, 28, 46, 18, 74, 3, inf, 31, inf, 90, inf, inf, 0, 1, 31
80, inf, 84, 89, inf, 63, 18, 24, 53, inf, 29, 38, 70, 0, 59
19, 15, 35, 9, 28, inf, 37, 72, 85, 94, 4, 86, 58, 86, 0
